Timestamp,Sign
6.2,you
8.5,t
12,e
13.5,c
14,2
14.5,2
15.2,4
18.9,a
21.5,s
24.3,a
26.7,a
27,b
27.3,c
29.2,1
29.5,2
29.9,3
33.1,a
33.6,b
33.8,c
34.2,1
34.6,2
34.9,3
35.8,you
36.2,me
36.9,a
37.3,b
37.7,c
39.2,1
39.7,2
40,3
43,a
43.4,b
43.8,c
44.3,1
44.8,2
45,3
45.7,you
46.3,me
47.3,l
50.8,l
53.2,s
54.3,c
55.2,l
56.8,r
57.8,w
58.9,a
61.7,w
64.4,y
66,t
66.4,t
66.7,t
67.1,t
69.6,h
70.3,a
74.8,l
77.2,a
77.6,b
78,c
79.8,1
80.2,2
80.6,3
83.7,a
84,b
84.3,c
84.9,1
85.3,2
85.6,3
86.2,7
86.8,6
87.5,a
87.9,b
88.3,c
90.1,c
91.4,3
92,s
95.2,t
96.6,l
98.1,t
99.2,l
100.5,s
103,1
103.4,2
103.7,3
104.4,7
105,6
110.9,s
115.9,n
116.9,g
118.5,s
120.3,s
122.6,s
125.2,s
127.5,1
127.9,2
128.3,3
130,a
130.4,b
130.7,c
135.1,t
136.5,l
137.9,a
138.4,b
138.7,c
140.1,c
141.5,3
142.1,s
145,t
146.4,l
148.8,s
149.8,c
151.5,l
152.3,a
152.6,b
153,c
154.4,c
156,3
156.6,s
159.8,t
161.1,l
163.5,s
164.1,s
165.1,s
165.8,s
167.2,a
167.6,b
167.9,c
169.5,c
171,3
172.2,s
174.6,t
176,l
